name,opening_year,latitude,longitude
PUNGGOL COAST,2024,1.41528,103.91111
KEPPEL,2026,1.2701,103.831
CANTONMENT,2026,1.272814,103.836659
PRINCE EDWARD ROAD,2026,1.273254,103.847298
HUME,2025,1.35465,103.76904
XILIN,2025,1.3289,103.9649
SUNGEI BEDOK,2025,1.32031,103.95709
FOUNDERS,2027,1.2912,103.869229
TANJONG RHU,2024,1.29726,103.87345
KATONG PARK,2024,1.297825,103.885331
TANJONG KATONG,2024,1.2992,103.89769
MARINE PARADE,2024,1.3026301,103.9049619
MARINE TERRACE,2024,1.305985,103.913332
SIGLAP,2024,1.30977,103.928967
BAYSHORE,2024,1.314712,103.943717
BEDOK SOUTH,2025,1.3240389,103.9300361
CHOA CHU KANG,2027,1.385092,103.744322
CHOA CHU KANG WEST,2027,1.385092,103.744322
TENGAH,2027,1.36633,103.73007
HONG KAH,2027,1.35795,103.72586
CORPORATION,2027,1.352948,103.71393
JURONG WEST,2027,1.34919,103.70831
BAHAR JUNCTION,2027,1.3454222,103.7025417
BOON LAY,2027,1.3388833,103.7062083
GEK POH,2027,1.348382,103.697963
TAWAS,2027,1.35056,103.69185
TENGAH PLANTATION,2028,1.35731,103.73342
TENGAH PARK,2028,1.35235,103.73679
BUKIT BATOK WEST,2028,1.3590306,103.7636806
TOH GUAN,2028,1.33984,103.7425
JURONG EAST,2028,1.333415,103.742119
JURONG TOWN HALL,2028,1.326,103.746
PANDAN RESERVOIR,2028,1.32,103.745
